,quote,classe,methode of collection,groupe,source URL
2524,أهم شيء في الحياة هو الصبر- ليس الحُب – الحُب لا يمكن أن يستمر طويلاً.,السترُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D9%85%D8%A3%D8%AB%D9%88%D8%B1%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
2559,١ أقوال مأثورة من السلف عن الزهد,الزهد فيما في أيدي الناسُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%85%D8%A3%D8%AB%D9%88%D8%B1%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B2%D9%87%D8%AF
2560,٢ أقوال مأثورة عن الزهد,الزهد فيما في أيدي الناسُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%85%D8%A3%D8%AB%D9%88%D8%B1%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B2%D9%87%D8%AF
2561,٣ أقوال الحكماء عن الزهد,الزهد فيما في أيدي الناسُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%85%D8%A3%D8%AB%D9%88%D8%B1%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B2%D9%87%D8%AF
2562,٤ شعر الإمام الشافعي عن الزهد,الزهد فيما في أيدي الناسُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%85%D8%A3%D8%AB%D9%88%D8%B1%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B2%D9%87%D8%AF
2584, يا ابن آدم، بع دنياك بآخرتك تربحهما جميعا، ولا تبع آخرتك بدنياك فتخسرهما جميعا… الثواء ها هنا قليل، والبقاء هناك طويل.,الزهد فيما في أيدي الناسُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%85%D8%A3%D8%AB%D9%88%D8%B1%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B2%D9%87%D8%AF
2629,ومن دلائل عظمة القرآن وإعجازه أنه حينما ذكر الزواج، لم يذكر الحب وإنما ذكر المودة والرحمة والسكن سكن النفوس بعضها إلى بعض وراحة النفوس بعضها إلى بعض (وَمِنْ آيَاتِهِ أَنْ خَلَقَ لَكُم مِّنْ أَنفُسِكُمْ أَزْوَاجًا لِّتَسْكُنُوا إِلَيْهَا وَجَعَلَ بَيْنَكُم مَّوَدَّةً وَرَحْمَةً) (الروم – 21) إنها الرحمة والمودة مفتاح البيوت والرحمة تحتوي على الحب بالضرورة والحب لا يشتمل على الرحمة، بل يكاد بالشهوة أن ينقلب عدوانا والرحمة أعمق من الحب وأصفى وأطهر، و الرحمة عاطفة إنسانية راقية مركبة، ففيها الحب، وفيها التضحية، وفيها إنكار الذات، وفيها التسامح، وفيها العطف، وفيها العفو، وفيها الكرم.و كلنا قادرون على الحب بحكم الجبلة البشرية.و قليل منا هم القادرون على الرحمة وبين ألف حبيبة هناك واحدة يمكن أن ترحم، والباقي طالبات هوى ونشوة ولذة.اللهم إني أسألك رحمة اللهم إني أسألك مودة تدوم اللهم إني أسألك سكنا عطوفا وقلبا طيبا اللهم لا رحمة إلا بك ومنك وإليك.,الرحمةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9
2650,١ كلام عن الرحمة,الرحمةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D8%A7%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9
2651,٢ حكم عن الرحمة والحب,الرحمةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D8%A7%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9
2652,٣ حكم عن أثر الرحمة في الحياة,الرحمةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D8%A7%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9
2653,٤ أبيات شعرية عن الرحمة,الرحمةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D8%A7%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9
2696,١ حكم عن الشكر,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D9%83%D8%B1
2697,٢ كلمات لشكر والتقدير للمعلم,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D9%83%D8%B1
2698,٣ عبارات لشكر للأب,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D9%83%D8%B1
2699,٤ كلمات شكر وتقدير للاصدقاء,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D9%83%D8%B1
2700,٥ قصيدة شكراً,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D9%83%D8%B1
2742,١ أقوال وحكم عن شكر الله,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AD%D9%85%D8%AF_%D9%88%D8%A7%D9%84%D8%B4%D9%83%D8%B1_%D9%84%D9%84%D9%87
2743,٢ حكم وأقوال عن النعم,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AD%D9%85%D8%AF_%D9%88%D8%A7%D9%84%D8%B4%D9%83%D8%B1_%D9%84%D9%84%D9%87
2744,٣ أجمل عبارات الحمد والشكر لله تعالى,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AD%D9%85%D8%AF_%D9%88%D8%A7%D9%84%D8%B4%D9%83%D8%B1_%D9%84%D9%84%D9%87
2745,٤ أبيات شعرية عن الحمد والشكر لله,الشكرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AD%D9%85%D8%AF_%D9%88%D8%A7%D9%84%D8%B4%D9%83%D8%B1_%D9%84%D9%84%D9%87
2787,١ أجمل الأقوال والحكم عن التأني والعجلة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
2788,٢ أجمل الأقوال والحكم عن الإخلاص,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
2789,٣ أجمل الأقوال والحكم عن الرحمة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
2790,٤ أجمل الأقوال والحكم عن العلم,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
2829, الصدق، والإخلاص، البساطة والتواضع، والكرم، وغياب الغرور، والقدرة على خدمة الآخرين – وهي صفات في متناول كل نفس هي الأسس الحقيقية لحياتنا الروحية.,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
2882,١ حكم وأمثال عن الحياة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2883,٢ أجمل ما قيل عن الحياة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2884,٣ حكمة عن الحياة قصيرة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2885,٤ أجمل الكلمات عن الحياة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2886,٥ كلمات عن الحياة والأمل,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2887,٦ حكم وأقوال رائعة عن الحياة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2888,٧ أقوال عن الحياة,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
2914, تعست هذه الحياةُ فما يسعدُ فيها إِلا الجهولُ ويرتعُ هي الدنيا في كلِّ يوم ترينا … من جديدِ الآلامِ ما هو أوجعُ.,الشفقةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AD%D9%8A%D8%A7%D8%A9
3022,١ حكم عن الشجاعة,الشجاعةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D8%AC%D8%A7%D8%B9%D8%A9
3023,٢ أمثال عن الشجاعة والمواجهة,الشجاعةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D8%AC%D8%A7%D8%B9%D8%A9
3024,٣ أقوال عن القوة والشجاعة,الشجاعةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D8%AC%D8%A7%D8%B9%D8%A9
3025,٤ قصيدة الرأي قبل شجاعة الشجعان,الشجاعةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B4%D8%AC%D8%A7%D8%B9%D8%A9
3233,١ أقوال الحكماء عن الصمت,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3234,٢ أقوال عن الصمت والكبرياء,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3235,٣ الصمت ابلغ من الكلام,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3236,٤ لغة الصمت,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3335,الزمِ الصمتَ إِن أردتَ نجاةً … ليس ضحضاحُ منطقٍ مثل غمرِ.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3336,يخوضُ أناسٌ في الكلامِ ليوجزوا … وللصَّمْتُ في بعض الأحايين أوجزُ,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3337,قد يحسبُ الصمتُ الطويلُ من الفتى … حلماً يوقَّرُ وهو فيه تخلفُ.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3338,ألم ترأن الصمت حلمٌ وحكمةٌ … قليلٌ على ريبِ الحوادثِ فاعلُه.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3339,وللصمتُ خيرٌ من كلامٍ بمأثمٍ … فكنْ صامتاً تسلمْ وإِن قلتَ فاعدلِ.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3340,أطرقْ كأنكَ في الدنيا بلا نظرٍ … واصمُتْ كأنكَ مخلوقٌ بغيرِ فمِ,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3341,عجبتُ لإِدلالِ العييِّ بنفسِه … وصمتِ الذي قد كان بالقَوْلِ أعلما,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3342,استُرِ العي ما استطعْتَ بصمتٍ … إِن في الصمتِ راحةً للصَّموتِ,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3343,أنتَ من الصمتِ آمنُ الزللِ … ومن كثيرِ الكلامِ في وجلِ,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3344,قالوا سكتَّ وقد خوصمتَ قلت لهم … إِن الجوابَ لبابِ الشرِّ مفتاحُ,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3345,وجدْتُ سكوتي متجراً فلزمتهُ … إِذا لم أجدْ ربحاً فلسْتُ بخاسرِ,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3346,إِذا سكتَ الإِنسانُ قَلَّتْ خصومُهُ … وإِن أضجعتهُ الحادثاتُ لجنبِه.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3347,إِن كان ينطقُ ناطقاً من فضةٍ … فالصمت درٌ زانَه الياقوتُ.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3348,إِن القليلَ من الكلامِ بأهلهِ … حَسَنٌ وإِن كثيرَهُ ممقوتُ.,الصمتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
3359,١ أمثال وحكم عن الصداقة,الصِّلةُ والتواصلُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9
3360,٢ حكم عن الصداقة,الصِّلةُ والتواصلُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9
3361,٣ أقوال عن الصداقة,الصِّلةُ والتواصلُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9
3362,٤ عبارات جميلة عن الصداقة,الصِّلةُ والتواصلُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D8%A7%D9%82%D8%A9
3531,١ حكم جميلة عن الصدق,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%AC%D9%85%D9%8A%D9%84%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3532,٢ فيديو عن الصدق و آثاره,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%AC%D9%85%D9%8A%D9%84%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3565,لا تنظروا إلى صيام أحد، ولا إلى صلاته، ولكن أنظروا من إذا حدّث صدق، وإذا ائتُمِن أدى، وإذا أشفى – أى هم بالمعصية – ورع.,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%AC%D9%85%D9%8A%D9%84%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3569,الصدق، والإخلاص، البساطة والتواضع، والكرم، وغياب الغرور، والقدرة على خدمة الآخرين – وهي صفات في متناول كل نفس – هي الأسس الحقيقية لحياتنا الروحية.,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%AC%D9%85%D9%8A%D9%84%D8%A9_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3578,١ حكم عن الصدق,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3579,٢ ,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3580,٣ أقوال السلف عن الصدق,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3581,٤ أمثال عن الصدق,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3582,٥ عبارات عن الصدق,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3590, لا تحلفن على صدق أو كذب… فإن أبيت فعد الخلف بالله.,الصدقُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%AF%D9%82
3634,١ الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3635,٢ حكم وأمثال عن الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3636,٣ أقوال في الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3637,٤ قالوا عن الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3638,"٥ أبيات شعر عن الصبر 
٥.١ الإمام الشافعي
٥.٢ عبد الله الحارثي
٥.٣ مدرك الشيباني
٥.٤ أبو علي الأنباري
٥.٥ علي بن أبي طالب رضي الله عنه
٥.٦ محمد بن بشر
٥.٧ زهير بن أبي سلمة
",الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3639,٥.١ الإمام الشافعي,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3640,٥.٢ عبد الله الحارثي,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3641,٥.٣ مدرك الشيباني,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3642,٥.٤ أبو علي الأنباري,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3643,٥.٥ علي بن أبي طالب رضي الله عنه,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3644,٥.٦ محمد بن بشر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3645,٥.٧ زهير بن أبي سلمة,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3646,٦ فيديو أمثال شعبية مضحكة,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3706,١ حكم عن الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3707,٢ عبارات عن الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
3708,٣ أقوال جميلة عن الصبر,الصبرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
